Raw Data 		Experiment - HL60 _U937_Kokultur Bine _1_IL10_090113 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
A10	Sample_7	2	3	36	3440966	71.67	15.53
A10	Sample_7	2	3	37	3519566	71.67	15.60
A10	Sample_7	2	3	38	3598166	71.67	15.67
A10	Sample_7	2	3	39	3676750	71.67	15.65
A10	Sample_7	2	3	40	3755266	71.67	15.73
A10	Sample_7	2	3	41	3833866	71.67	15.78
A10	Sample_7	2	3	42	3912466	71.67	15.88
A10	Sample_7	2	3	43	3991050	71.67	15.96
A10	Sample_7	2	3	44	4069550	71.67	41533
A10	Sample_7	2	3	45	4148150	71.67	16.19
A11	Sample_8	2	3	1	691600	71.79	41594
A11	Sample_8	2	3	2	770133	71.64	16.17
A11	Sample_8	2	3	3	848716	71.64	16.23
A11	Sample_8	2	3	4	927233	71.67	16.17
A11	Sample_8	2	3	5	1005816	71.67	16.18
A11	Sample_8	2	3	6	1084316	71.67	16.23
A11	Sample_8	2	3	7	1162916	71.67	16.21
A11	Sample_8	2	3	8	1241416	71.67	16.24
A11	Sample_8	2	3	9	1320000	71.67	16.25
A11	Sample_8	2	3	10	1398500	71.67	16.29
A11	Sample_8	2	3	11	1477116	71.67	16.22
A11	Sample_8	2	3	12	1555700	71.67	16.25
A11	Sample_8	2	3	13	1634300	71.67	16.20
A11	Sample_8	2	3	14	1712900	71.67	16.26
A11	Sample_8	2	3	15	1791500	71.67	16.20
A11	Sample_8	2	3	16	1870000	71.67	16.21
A11	Sample_8	2	3	17	1948400	71.67	16.28
A11	Sample_8	2	3	18	2026883	71.67	16.16
A11	Sample_8	2	3	19	2105400	71.67	16.17
A11	Sample_8	2	3	20	2184000	71.67	16.17
A11	Sample_8	2	3	21	2262583	71.67	16.14
A11	Sample_8	2	3	22	2341200	71.67	16.21
A11	Sample_8	2	3	23	2419783	71.64	16.21
A11	Sample_8	2	3	24	2498383	71.67	16.17
A11	Sample_8	2	3	25	2576883	71.67	16.24
A11	Sample_8	2	3	26	2655483	71.67	16.32
A11	Sample_8	2	3	27	2733983	71.67	16.49
A11	Sample_8	2	3	28	2812583	71.67	16.76
A11	Sample_8	2	3	29	2891200	71.67	17.28
A11	Sample_8	2	3	30	2969766	71.67	41292
A11	Sample_8	2	3	31	3048266	71.67	41352
A11	Sample_8	2	3	32	3126683	71.67	20.14
A11	Sample_8	2	3	33	3205266	71.67	21.48
A11	Sample_8	2	3	34	3283766	71.67	22.96
A11	Sample_8	2	3	35	3362366	71.67	24.48
A11	Sample_8	2	3	36	3440966	71.67	25.83
A11	Sample_8	2	3	37	3519566	71.67	27.20
A11	Sample_8	2	3	38	3598166	71.67	28.53
A11	Sample_8	2	3	39	3676750	71.67	29.64
A11	Sample_8	2	3	40	3755266	71.67	30.67
A11	Sample_8	2	3	41	3833866	71.67	31.44
A11	Sample_8	2	3	42	3912466	71.67	31.91
A11	Sample_8	2	3	43	3991050	71.67	32.32
A11	Sample_8	2	3	44	4069550	71.67	32.70
A11	Sample_8	2	3	45	4148150	71.67	32.90
A12	Sample_8	2	3	1	691600	71.79	25.74
A12	Sample_8	2	3	2	770133	71.64	25.76
A12	Sample_8	2	3	3	848716	71.64	25.77
A12	Sample_8	2	3	4	927233	71.67	25.70
A12	Sample_8	2	3	5	1005816	71.67	25.64
A12	Sample_8	2	3	6	1084316	71.67	25.70
A12	Sample_8	2	3	7	1162916	71.67	25.60
A12	Sample_8	2	3	8	1241416	71.67	25.68
